"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CSTA",0,5.22492351406188,0.965,0.074,0
"RP11-1143G9.4",0,6.03859666548131,0.976,0.09,0
"MNDA",0,5.07792154131541,0.98,0.11,0
"S100A12",0,6.24364397131179,0.922,0.082,0
"FCN1",0,4.71129383865888,0.989,0.16,0
"VCAN",0,5.7227597191184,0.871,0.06,0
"LGALS2",0,5.10953871249872,0.887,0.09,0
"CD14",0,5.4730415330123,0.843,0.051,0
"MS4A6A",0,4.89888701329915,0.832,0.057,0
"SERPINA1",0,3.3570938757568,0.851,0.095,0
"FGL2",0,4.12375017546156,0.828,0.079,0
"CFD",0,3.5377063512684,0.838,0.093,0
"TYMP",0,3.44569399204844,0.958,0.222,0
"AIF1",0,3.31274794997243,0.989,0.256,0
"LST1",0,3.0585542747424,0.996,0.264,0
"FCER1G",0,2.64728277478194,0.984,0.279,0
"GRN",0,3.37633748901399,0.894,0.193,0
"SPI1",0,3.12873964511596,0.829,0.128,0
"CYBB",0,3.70803470992842,0.783,0.096,0
"CLEC7A",0,4.27118980433623,0.741,0.055,0
"KLF4",0,3.7617271667813,0.781,0.099,0
"CD36",0,5.10905448064405,0.699,0.036,0
"AP1S2",0,3.31421144781144,0.936,0.275,0
"CFP",0,3.53421147716076,0.76,0.1,0
"TYROBP",0,3.66027888916526,1,0.342,0
"LGALS1",0,3.28743625882273,0.987,0.338,0
"BLVRB",0,3.87173554710973,0.735,0.091,0
"CD68",0,3.06395058358304,0.721,0.081,0
"TNFSF13B",0,4.11718270279982,0.709,0.069,0
"RGS2",0,2.82995653590438,0.893,0.258,0
"CSF3R",0,4.97248187702328,0.661,0.035,0
"CST3",0,3.77759132538801,1,0.385,0
"RNF130",0,3.46987177257927,0.706,0.098,0
"STXBP2",0,2.70179875219064,0.848,0.244,0
"FCGRT",0,2.764407584414,0.819,0.216,0
"NAMPT",0,3.44612300937025,0.723,0.12,0
"MPEG1",0,3.63197311588962,0.669,0.079,0
"CPVL",0,4.32134818557092,0.637,0.048,0
"CD302",0,4.44311661839753,0.622,0.044,0
"PYCARD",0,2.36172615150948,0.848,0.276,0
"DUSP6",0,3.6041934824582,0.639,0.074,0
"LGALS3",0,3.33135959029177,0.648,0.087,0
"CD3E",0,-3.66925261576599,0.147,0.708,0
"S100A11",0,2.67815729689279,0.991,0.43,0
"CXCL8",0,4.8757263889608,0.628,0.071,0
"NPC2",0,2.30058995017701,0.916,0.363,0
"RBP7",0,5.33717370578424,0.58,0.027,0
"IL1B",0,4.67749951722939,0.599,0.047,0
"IFI30",0,3.38176389342587,0.603,0.055,0
"TKT",0,2.48707352173601,0.89,0.347,0
"NUP214",0,3.53564523965014,0.622,0.082,0
"MGST1",0,5.89249633585971,0.551,0.015,0
"EVL",0,-2.60377147411602,0.306,0.84,0
"KCTD12",0,4.84565926683369,0.559,0.033,0
"GPX1",0,3.02736547080374,0.993,0.469,0
"CLEC4A",0,3.94320108882643,0.565,0.05,0
"TRAC",0,-3.48887934078814,0.242,0.756,0
"NCF2",0,3.87582833270425,0.559,0.049,0
"CEBPB",0,2.1532768505821,0.787,0.278,0
"C4orf48",0,2.37539001147598,0.712,0.203,0
"GCA",0,3.09598209864329,0.617,0.111,0
"CEBPD",0,3.07142769274513,0.587,0.089,0
"CD3D",0,-3.08884024839308,0.236,0.725,0
"PLBD1",0,5.23823255595806,0.508,0.023,0
"RNASE6",0,2.96509619955158,0.568,0.083,0
"IGSF6",0,3.87128729584886,0.528,0.044,0
"PLAUR",0,3.80610852745025,0.53,0.048,0
"CDA",0,4.34907227016126,0.52,0.039,0
"CTSD",0,2.19658622152596,0.789,0.309,0
"PSAP",0,2.43525250467902,0.986,0.506,0
"AP2S1",0,1.95563298130415,0.819,0.343,0
"TGFBI",0,3.91699371257384,0.517,0.042,0
"TSPO",0,2.41652800256934,0.976,0.509,0
"NFKBIA",0,2.34958307695883,0.893,0.427,0
"S100A8",0,5.8628975815153,0.999,0.534,0
"ASGR1",0,5.08137191223763,0.482,0.02,0
"GSTP1",0,2.47348607672467,0.97,0.51,0
"CLEC12A",0,4.33571858205214,0.489,0.032,0
"RAC1",0,1.88470400261617,0.877,0.422,0
"CTSS",0,3.23143802082886,0.999,0.548,0
"HLA-DRB1",0,1.40279620900257,0.967,0.517,0
"IL32",0,-3.36754310937509,0.312,0.753,0
"RAB32",0,4.09224433068793,0.464,0.032,0
"LTB",0,-2.91316307797614,0.472,0.902,0
"SRGN",0,2.23829792796113,0.988,0.566,0
"JUND",0,1.91716132773605,0.844,0.423,0
"LYZ",0,5.3618697492729,1,0.59,0
"TNFAIP2",0,4.32940917582669,0.43,0.028,0
"FKBP1A",0,1.67728681469484,0.883,0.492,0
"NEAT1",0,2.43333945959465,0.998,0.609,0
"HNMT",0,4.91290732339019,0.405,0.019,0
"COTL1",0,1.64099481668,0.981,0.616,0
"S100A9",0,5.62096525100238,1,0.636,0
"SAT1",0,2.00681566192266,0.985,0.623,0
"HLA-DRA",0,1.17985344199217,0.997,0.651,0
"LAMTOR4",0,1.44694912205678,0.934,0.591,0
"TCEB2",0,1.48145067372967,0.969,0.692,0
"C14orf2",0,1.5975573547964,0.97,0.714,0
"S100A4",0,2.12806686741413,1,0.799,0
"VIM",0,1.3128850522333,0.974,0.797,0
"GLTSCR2",0,-1.25559106140281,0.813,0.957,0
"S100A6",0,2.66935085504842,1,0.867,0
"GAPDH",0,1.50589438630226,0.991,0.872,0
"CYBA",0,1.45596302060297,0.999,0.908,0
"FOS",0,1.19390093574586,0.999,0.929,0
"RPSA",0,-1.49420645435446,0.927,0.996,0
"H3F3A",0,1.26721752692351,0.999,0.947,0
"OAZ1",0,1.27984216792741,0.999,0.947,0
"SERF2",0,1.01534962463182,0.999,0.964,0
"RPL5",0,-0.969851911491831,0.965,0.996,0
"ATP5E",0,0.974595705913454,0.996,0.97,0
"RPS20",0,-0.972937668391261,0.984,0.999,0
"RPS5",0,-1.01335569377822,0.984,0.997,0
"RPL10A",0,-0.828618417657323,0.989,0.998,0
"RPS21",0,-0.834313682180487,0.986,0.995,0
"RPS7",0,-0.741150068349007,0.99,0.998,0
"FTH1",0,1.97242362947422,0.999,0.994,0
"FTL",0,2.66571948990217,1,0.996,0
"RPL31",0,-1.11568641069409,0.995,0.999,0
"RPL3",0,-1.14200121036454,0.996,0.999,0
"RPL30",0,-0.949123595617922,0.996,0.999,0
"RPS25",0,-0.978217119175322,0.996,0.999,0
"RPL19",0,-0.741446005047426,0.998,1,0
"RPL27A",0,-0.756701207523177,0.997,0.999,0
"RPS12",0,-0.760003722786723,0.998,1,0
"RPS3",0,-1.05568023874259,0.997,0.999,0
"MT-CO2",0,0.757315525889559,1,0.999,0
"RPLP2",0,-0.75948650758747,0.999,1,0
"RPS15A",0,-0.669711034474496,1,0.999,0
"RPS19",0,-0.81116661228971,1,0.999,0
"RPS23",0,-0.73420054175323,1,0.999,0
"RPS24",0,0.646860326899638,1,0.999,0
"RPS4X",0,-0.731630830338409,0.998,0.999,0
"RPS6",0,-0.948685913891621,0.999,1,0
"EEF1A1",0,-0.767419650390103,1,1,0
"MALAT1",0,-0.996893012563168,1,1,0
"MT-CO1",0,0.873743738952268,1,1,0
"MT-CO3",0,0.670296887409362,1,1,0
"RPL13A",0,-0.708843720446958,1,1,0
"RPL23A",0,-1.19375805722504,0.999,0.999,0
"RPS18",0,-0.771319875330438,1,1,0
"RPS27",0,-1.13878329441718,1,1,0
"RPS27A",0,-0.83525973291216,1,1,0
"RPS29",0,-1.34526746547013,1,1,0
"TMSB4X",0,0.552244410508088,1,1,0
"RPL41",4.94065645841247e-324,-0.519713717186217,1,1,9.06116394472846e-320
"LCK",1.7835769814869e-321,-3.42873235983688,0.123,0.635,3.27108018404697e-317
"LY96",1.00947492758283e-319,3.30056257963573,0.534,0.078,1.85137701718692e-315
"CALM2",1.08285849795964e-318,1.24054752937946,0.96,0.762,1.98596248525797e-314
"CD69",8.27794833517539e-312,-2.70042500053927,0.305,0.748,1.51817572467117e-307
"APLP2",5.59717123595176e-311,2.43469165326538,0.674,0.167,1.02652120467355e-306
"QPCT",2.75370184071384e-310,5.5500622842556,0.349,0.01,5.05028917586918e-306
"SLC7A7",4.39334577076622e-308,3.41501018009828,0.479,0.05,8.05739614358525e-304
"CLEC4E",1.08865255438406e-306,6.1372924442304,0.33,0.007,1.99658878474037e-302
"CAPG",1.21579625799704e-304,2.52381591030685,0.641,0.149,2.22977033716657e-300
"CD93",1.78019428672155e-303,4.79279936313662,0.377,0.018,3.26487632184732e-299
"CTD-3252C9.4",5.19446045960389e-303,2.93209672312214,0.576,0.111,9.52664048291353e-299
"ATP6V0B",6.45310295327208e-302,1.949346986274,0.775,0.319,1.1834990816301e-297
"RAB31",2.94007357305962e-301,3.96464819290495,0.429,0.035,5.39209493299134e-297
"CCL3",1.57435249318589e-300,3.16064956281249,0.551,0.099,2.88736247250293e-296
"RPL14",2.98728940217567e-297,-0.738567880578867,0.985,0.998,5.47868876359018e-293
"RPL4",4.49852094139538e-297,-0.841071389926407,0.966,0.994,8.25028740651912e-293
"SGK1",6.81238276213866e-297,3.78067373044561,0.453,0.048,1.24939099857623e-292
"RHOB",1.37253035692829e-295,2.7014000553177,0.603,0.125,2.51722067460649e-291
"POLR2L",9.8052523528803e-295,1.43690598859297,0.887,0.569,1.79828328151825e-290
"TRBC2",3.20609955954726e-294,-3.03873482678065,0.254,0.704,5.87998659220968e-290
"RPS10",2.11805763152351e-292,-0.787782372987321,0.982,0.995,3.88451769621412e-288
"ACAP1",8.91436527241899e-291,-2.82850557632005,0.17,0.656,1.63489459096164e-286
"SDCBP",4.51635834423282e-289,1.94196194573837,0.755,0.31,8.28300120332299e-285
"ACTB",1.39813172970842e-288,0.745887382382193,1,1,2.56417359228524e-284
"TALDO1",4.57890622853127e-286,1.88704433008444,0.75,0.324,8.39771402312636e-282
"AES",9.02881190935803e-285,-2.19458118069206,0.326,0.758,1.65588410417626e-280
"HSPA8",1.91816655016271e-284,-1.75261242434504,0.515,0.836,3.51791745299841e-280
"MARCKS",3.79741223528812e-283,3.35763750918933,0.477,0.062,6.96445403951842e-279
"RGS18",3.53034160904874e-282,2.36067634675984,0.418,0.036,6.4746465109954e-278
"LBH",3.43633733726964e-281,-3.76950682374898,0.071,0.553,6.30224267655252e-277
"NAIP",3.5170721426124e-281,3.42026396116212,0.456,0.052,6.45031030955114e-277
"PILRA",1.16075713458026e-279,3.20397979166491,0.435,0.043,2.12882858482019e-275
"FPR1",7.93197399035492e-279,5.06593404003915,0.339,0.015,1.45472402983109e-274
"LINC01272",5.12753985130889e-278,2.60606299024834,0.447,0.05,9.40390808730051e-274
"IFITM1",2.25384559775491e-276,-3.89702145742455,0.069,0.541,4.13355282628251e-272
"MT-ND3",1.97270214602852e-275,0.711104048138404,1,0.994,3.61793573581631e-271
"RPL15",4.14153713307023e-274,-0.535643599884939,0.999,1,7.59557910205081e-270
"DUSP1",1.16980583257439e-272,1.04221453220536,0.999,0.896,2.14542389694142e-268
"NDUFB1",3.50970067098191e-270,1.41069006651032,0.882,0.53,6.43679103058082e-266
"KLF10",1.16973703908897e-269,3.50735538679768,0.444,0.053,2.14529772968918e-265
"HLA-E",6.80624879250473e-269,-1.10420749488454,0.846,0.971,1.24826602854537e-264
"S100A10",2.5121039470502e-268,1.34294809770069,0.905,0.648,4.60719863889007e-264
"CTSH",3.99940600112614e-268,2.42020672761452,0.608,0.15,7.33491060606534e-264
"LDHB",2.59378684684843e-266,-1.83387349026062,0.515,0.798,4.75700507712002e-262
"MS4A7",3.7481428657617e-266,2.12992537079497,0.456,0.062,6.87409401580696e-262
"CLEC2D",7.84089052431516e-266,-3.11842988291706,0.132,0.596,1.4380193221594e-261
"LY86",3.86344147814355e-264,2.13707859667244,0.636,0.158,7.08555167091528e-260
"RPL6",1.88999967582622e-262,-0.612244107285649,0.994,0.999,3.46625940546529e-258
"ALDH2",1.78840278841578e-260,3.60502071555475,0.409,0.042,3.27993071395454e-256
"ASAH1",1.31594784937939e-259,2.06303341996221,0.684,0.22,2.4134483557618e-255
"C19orf38",2.16206532243008e-258,3.54144391917849,0.407,0.04,3.96522780133677e-254
"JAML",8.47923746786161e-258,2.10369058085525,0.677,0.22,1.55509215160582e-253
"GLIPR1",1.30346676815984e-254,1.97476124438326,0.7,0.233,2.39055805280515e-250
"PTPRE",3.54876675065376e-253,2.60960446185887,0.542,0.112,6.508438220699e-249
"SMCO4",6.52256875898792e-253,3.3268297695779,0.429,0.052,1.19623911039838e-248
"RETN",2.61709321777138e-251,4.4957773724059,0.351,0.027,4.79974896139271e-247
"SH3BGRL3",4.83991767166358e-251,0.884502109588289,0.993,0.912,8.87640900983101e-247
"ANXA5",7.4082518970463e-250,1.91659693545863,0.711,0.253,1.35867339791829e-245
"SLC11A1",1.36318553277713e-249,3.51027454907869,0.398,0.041,2.50008226711325e-245
"ZEB2",1.38393423292886e-249,2.10566864899566,0.615,0.152,2.53813538319154e-245
"CCL3L3",3.59008942405602e-248,3.53123059595018,0.455,0.076,6.58422400371874e-244
"RPLP0",6.36137617635153e-248,-0.882360742480838,0.951,0.988,1.16667639074287e-243
"AGTRAP",1.69970667123696e-247,2.56011312161389,0.545,0.116,3.11726203504858e-243
"BST1",6.38223342839037e-247,4.73344044888721,0.315,0.015,1.17050161076679e-242
"CD3G",2.65689945257664e-246,-3.68080522505523,0.075,0.516,4.87275359602555e-242
"PRELID1",3.56343693013589e-246,1.49351729876351,0.825,0.469,6.53534332986923e-242
"DPYSL2",3.72364927160773e-246,3.44781718064666,0.409,0.048,6.82917276412858e-242
"TIMP2",7.90211291364264e-245,4.34053360950416,0.332,0.021,1.44924750836206e-240
"CD7",1.39511625880189e-244,-3.27750937397612,0.151,0.584,2.55864321864267e-240
"BTG1",6.9424504016021e-243,-1.07392564654669,0.888,0.979,1.27324540365383e-238
"SOD2",3.98366697589427e-242,2.29807019313273,0.626,0.202,7.3060452337901e-238
"PRAM1",9.16622549432118e-242,3.87571450986381,0.359,0.03,1.6810857556585e-237
"CPPED1",2.06433476178133e-241,3.09964177339908,0.435,0.059,3.78598995310695e-237
"ANXA2",3.8532390061873e-241,1.68813774852087,0.766,0.333,7.06684033734751e-237
"HCK",5.90534394618153e-241,2.39198443565917,0.472,0.077,1.08304007972969e-236
"CARD16",1.53606739585954e-239,1.79241869942092,0.743,0.312,2.8171476040064e-235
"RP11-160E2.6",2.16356151863903e-239,2.25932007439783,0.608,0.177,3.96797182518398e-235
"CD27",4.44881927663629e-239,-3.49973550486331,0.087,0.519,8.15913455335096e-235
"OGFRL1",3.0118766882848e-238,3.2393487246191,0.418,0.054,5.52378184631433e-234
"CD300E",4.96558195357599e-237,3.83271932000715,0.356,0.031,9.10687730285836e-233
"RPL13",3.84294351840838e-236,-0.544237472624238,1,1,7.04795841276097e-232
"SULT1A1",3.66379437550771e-234,2.94345117399987,0.458,0.075,6.71939888468113e-230
"EEF1B2",4.87057224893101e-234,-1.01948037444548,0.862,0.967,8.93262950453948e-230
"EIF4EBP1",6.73320732020697e-234,2.8893236425349,0.46,0.076,1.23487022252596e-229
"RPS16",1.5456670835549e-233,-0.619112705631784,0.996,0.999,2.83475343123969e-229
"CD33",2.53604114979846e-233,4.11314032442304,0.33,0.023,4.65109946873038e-229
"ZFP36",8.04164680376589e-233,1.10933923817243,0.953,0.713,1.47483802381066e-228
"ODF3B",4.03079768214842e-231,3.59210329726913,0.375,0.04,7.3924829490602e-227
"MT-ND1",1.55677437703266e-230,0.729694966822666,0.996,0.975,2.8551242074779e-226
"FGR",2.45910660489025e-230,1.87200155170752,0.622,0.17,4.51000151336872e-226
"YBX3",4.27569796154114e-230,2.57563831520859,0.516,0.111,7.84163006146645e-226
"LRRK2",1.45531666070885e-229,3.76596154557597,0.354,0.032,2.66905075574003e-225
"IL2RG",2.92368732249506e-228,-2.46941510682864,0.197,0.625,5.36204254945593e-224
"ANXA1",1.89815420612737e-227,1.32452761609128,0.873,0.441,3.4812148140376e-223
"STK17A",3.84315531214656e-226,-3.11879312953295,0.109,0.531,7.04834684247679e-222
"BRI3",8.98709678111538e-226,2.24176455304598,0.569,0.147,1.64823354965656e-221
"RPL11",2.40503497485899e-224,-0.5428527923744,1,0.999,4.41083414389138e-220
"NPM1",3.06410611497873e-224,-1.03806843266593,0.842,0.949,5.619570614871e-220
"CECR1",1.60726275701761e-223,2.59274422601768,0.5,0.106,2.9477198963703e-219
"LTA4H",8.70057887456546e-222,1.89243805465471,0.678,0.257,1.59568616559531e-217
"EEF2",2.4404324555566e-221,-0.850272929790845,0.916,0.979,4.47575312349081e-217
"FAM198B",6.47747734374954e-221,4.98763754394941,0.276,0.012,1.18796934484367e-216
"MCL1",1.03042435288218e-219,1.44904231173164,0.83,0.487,1.88979826318592e-215
"CXCR4",2.49526403276143e-219,-1.9286416915696,0.475,0.773,4.57631423608447e-215
"GABARAP",2.76402813725524e-219,2.1980173287964,0.576,0.162,5.06922760372612e-215
"H2AFY",4.22133726122396e-218,1.6761512001984,0.704,0.321,7.74193253708474e-214
"CD2",1.97542760791332e-215,-3.4825741406978,0.09,0.488,3.62293423291303e-211
"MT-ND4",2.18663103040175e-213,0.565837890888235,1,0.998,4.01028130975682e-209
"CHP1",3.37092409763399e-213,2.44743288498875,0.512,0.127,6.18227479506074e-209
"CRTAP",3.7851093598718e-212,2.88237083062872,0.423,0.068,6.94189056600487e-208
"HLA-DQB1",4.43457599568029e-212,0.765746937732028,0.868,0.421,8.13301237607766e-208
"ATP5G2",1.59107175448389e-211,0.825456234642433,0.973,0.879,2.91802559772345e-207
"PID1",2.78837930258324e-211,4.69404631728989,0.272,0.013,5.11388764093766e-207
"TMEM167A",2.83756024991319e-210,2.12094970597712,0.583,0.173,5.2040854983408e-206
"RPL9",9.05402262387591e-210,-0.603744179552429,0.997,0.999,1.66050774921884e-205
"IQGAP1",1.76400308509967e-209,1.71358244965699,0.71,0.288,3.2351816580728e-205
"UBB",6.15909900936541e-209,-1.19979943757343,0.715,0.914,1.12957875831762e-204
"RHOA",4.23958331203943e-208,1.13527761193154,0.888,0.626,7.77539579428031e-204
"CTSZ",6.85509324892684e-208,2.3672587619787,0.506,0.115,1.25722410185318e-203
"IL7R",1.51681389328141e-207,-3.09898394110544,0.141,0.532,2.7818366802781e-203
"ZFP36L1",1.61862561618691e-207,1.67197232667534,0.761,0.395,2.96855938008678e-203
"LINC00936",1.23725207031612e-206,2.07713643912994,0.601,0.202,2.26912029695976e-202
"RPS2",1.63265348318287e-206,-0.488493546333368,1,0.999,2.99428648815738e-202
"DMXL2",1.74552436931929e-206,4.26881657281158,0.29,0.019,3.20129169333158e-202
"CASP1",3.55333278317312e-204,1.9182484919571,0.627,0.213,6.51681232433951e-200
"CYP1B1",1.36095444340479e-201,6.43980661756343,0.22,0.004,2.49599044920438e-197
"CNPY3",1.67494458751259e-201,1.69570244278574,0.697,0.285,3.07184837349808e-197
"RPL7A",1.83836205358116e-201,-0.599623257665378,0.974,0.997,3.37155600626784e-197
"HSBP1",3.39644653546843e-201,2.14053984522203,0.562,0.162,6.22908294604909e-197
"EIF4A2",1.3197278149001e-199,-1.27558177375107,0.605,0.856,2.42038081252678e-195
"LCP1",2.25366200981859e-198,1.2442240546198,0.856,0.538,4.13321612600729e-194
"LAT",5.9264403113601e-198,-3.06802833433245,0.1,0.49,1.08690915310344e-193
"TRAF3IP3",1.59613747660072e-197,-1.79191407843806,0.347,0.704,2.92731613208572e-193
"PGLS",3.4476178777913e-197,1.60034736280566,0.71,0.313,6.32293118786925e-193
"ISG20",4.24476516437049e-196,-2.71846846565732,0.129,0.525,7.78489931145547e-192
"LILRA5",4.57953950986994e-196,3.71987725907374,0.305,0.026,8.39887546110147e-192
"HLA-B",5.14528424501318e-196,-0.615434603249522,0.999,1,9.43645130535417e-192
"ZNF385A",5.10093456620973e-195,3.5375333973752,0.313,0.029,9.35511399442865e-191
"LYST",2.53061997631688e-194,1.94449407222789,0.576,0.169,4.64115703656516e-190
"PLXDC2",4.2827376793716e-194,4.44694697152157,0.258,0.013,7.85454090396752e-190
"ALDOA",5.54524637362721e-194,0.896893715816644,0.937,0.82,1.01699818492323e-189
"CTSB",5.6384890319577e-194,2.09721306572039,0.545,0.156,1.03409888846104e-189
"C10orf54",3.59564343737194e-193,1.39684955327783,0.785,0.411,6.59441006414013e-189
"RHOH",6.37059139233116e-193,-3.35009737020929,0.072,0.451,1.16836646135354e-188
"VAMP8",8.91575279013308e-193,1.22259874336636,0.83,0.528,1.63514906171041e-188
"C5AR1",3.52935906655239e-191,3.4800871048237,0.313,0.031,6.47284452805709e-187
"ETS1",1.77041445473705e-190,-3.42385668192252,0.067,0.437,3.24694010998774e-186
"HLA-C",1.9335196076324e-190,-0.691704709298158,0.989,0.999,3.54607496039781e-186
"C1orf162",1.07304021136554e-189,1.42487682660679,0.774,0.377,1.9679557476444e-185
"PFDN5",1.5296561416337e-189,0.615680893853765,0.998,0.983,2.8053893637562e-185
"RPS8",2.92116933986315e-189,-0.597527796088938,0.996,0.998,5.35742456930901e-185
"FCGR2A",5.65173990982351e-188,3.89910601543214,0.285,0.024,1.03652909946163e-183
"LILRB2",1.21577399934253e-187,3.15420622930748,0.32,0.034,2.2297295147942e-183
"FCGR1A",4.22085909837547e-187,6.15470888446771,0.206,0.004,7.74105558642062e-183
"HLA-A",5.24557352719583e-186,-0.780027954371444,0.99,0.996,9.62038184887716e-182
"LILRA2",2.25255720696048e-184,3.50870417033641,0.31,0.033,4.13118991756552e-180
"GNAQ",3.07610196880079e-184,2.97309381175084,0.37,0.059,5.64157101078066e-180
"OSCAR",4.53603618169786e-184,4.27114869934577,0.26,0.017,8.31909035723387e-180
"LRRC25",7.03634298698271e-184,2.82066853687654,0.321,0.037,1.29046530381263e-179
"PGD",9.98796524450963e-183,2.55706183303307,0.428,0.091,1.83179282584307e-178
"PTGS2",1.30642416430016e-182,4.97255713945642,0.236,0.011,2.39598191732649e-178
"TPP1",2.38529557037291e-181,2.0958729517201,0.516,0.142,4.37463207606391e-177
"SEC11A",4.36169041649506e-181,1.43203439485446,0.732,0.38,7.99934022385194e-177
"TSTD1",1.7380828772975e-180,-2.68041874268148,0.112,0.492,3.18764399696361e-176
"QKI",2.83528015654823e-180,3.00658749608621,0.353,0.052,5.19990380710945e-176
"IRAK3",7.57388986772826e-180,4.26313730441112,0.254,0.016,1.38905140174136e-175
"ATP5I",2.52535381081454e-179,1.06980054060534,0.884,0.632,4.63149888903386e-175
"RPL18",2.67828754515564e-178,-0.535250363387924,0.996,0.999,4.91197935781544e-174
"MEF2C",3.18313213131903e-178,0.73800448322092,0.534,0.187,5.83786432883911e-174
"LILRB3",5.00372154437735e-178,3.60973084588122,0.292,0.029,9.17682531238806e-174
"MT-ND4L",1.10460618168684e-177,1.22828793095137,0.85,0.549,2.02584773721367e-173
"KCNE3",4.38832778323656e-177,4.6784120045099,0.231,0.011,8.04819315445585e-173
"RXRA",2.44284378372322e-176,3.37118961489906,0.306,0.035,4.48017549934839e-172
"CTB-61M7.2",7.19782310544975e-175,5.24243145651848,0.211,0.007,1.32008075753948e-170
"PLA2G7",2.00640782091293e-174,5.41758797549166,0.207,0.006,3.67975194355432e-170
"EFHD2",3.3661969166043e-174,1.46903851315283,0.587,0.193,6.17360514505229e-170
"LYN",3.64728011425156e-174,1.62300630877595,0.52,0.149,6.68911172953736e-170
"METTL9",2.58865336787735e-172,1.63303432110897,0.647,0.309,4.74759027668706e-168
"STX11",4.70051327156466e-172,2.88974608420928,0.334,0.046,8.62074134004959e-168
"CD163",1.15942922210782e-170,5.96775588993943,0.188,0.003,2.12639319334574e-166
"TREM1",1.22307635232109e-170,4.66156081109525,0.225,0.011,2.24312203015688e-166
"MAFB",1.84929247696575e-170,3.10739270079041,0.299,0.033,3.39160240275519e-166
"RTN3",3.89196292343436e-170,2.06352032577391,0.513,0.159,7.13786000157862e-166
"LRP1",3.83867763230295e-168,4.17876353262014,0.241,0.016,7.04013477764362e-164
"TIMP1",2.90274621300477e-167,1.61885427175929,0.619,0.23,5.32363655465075e-163
"ITGB2",2.95868007909418e-167,0.939248718272725,0.922,0.664,5.42621926505872e-163
"ALDH1A1",5.43651177734231e-167,4.99273621166999,0.208,0.008,9.9705625996458e-163
"RBM47",8.19325013550444e-167,4.21632215431598,0.239,0.016,1.50264207485151e-162
"COX6B1",1.02619319211087e-166,0.876084610985556,0.931,0.755,1.88203831433134e-162
"TLR2",2.65631594242785e-166,4.51718713559103,0.228,0.014,4.87168343841267e-162
"MT-ATP6",8.54785885949879e-166,0.568938284467983,0.998,0.992,1.56767731483208e-161
"MSRB1",2.06515285638733e-165,2.95244163858332,0.34,0.055,3.78749033861436e-161
"ZNF467",2.47308460955422e-165,3.51415602188501,0.278,0.028,4.53563717392244e-161
"ENTPD1",5.45431883984084e-165,3.18248842103628,0.302,0.037,1.00032207522681e-160
"RPL37",7.20203792260946e-165,-0.489246672415319,0.996,0.999,1.32085375500658e-160
"CD1D",3.34454346376575e-164,3.87388174778914,0.247,0.018,6.13389271254639e-160
"CREB5",6.47765076177466e-164,6.07237900234581,0.183,0.003,1.18800114970947e-159
"ZFAND5",1.06771840192101e-163,1.81336292694205,0.584,0.225,1.95819554912313e-159
"P2RY13",1.24981741170632e-163,4.28595289087559,0.234,0.016,2.29216513306938e-159
"CD4",1.59414561628962e-163,2.13823474630025,0.469,0.128,2.92366306027515e-159
"RPL21",1.65549985938476e-163,-0.466047707360981,1,1,3.03618674211165e-159
"SUN2",3.31632823724655e-163,-2.00905758179678,0.239,0.589,6.08214598711017e-159
"SPOCK2",2.46630033165662e-162,-3.43290205725338,0.058,0.386,4.52319480825825e-158
"NRGN",5.13506576047587e-162,2.42753173272547,0.248,0.021,9.41771060471275e-158
"CREG1",3.41018730629744e-161,2.85340897995937,0.333,0.052,6.2542835197495e-157
"FCMR",6.99730962781127e-161,-3.40843135272313,0.055,0.386,1.28330658574059e-156
"HLA-DMA",9.9576875121593e-161,1.18028871576575,0.693,0.293,1.82623988973002e-156
"SCPEP1",8.77179663577963e-160,2.07266636730121,0.463,0.122,1.60874750300198e-155
"SIRPA",1.51409424193517e-159,4.88471145134191,0.2,0.007,2.7768488397091e-155
"TPI1",1.43367262305598e-158,1.13153241558188,0.82,0.528,2.62935559068466e-154
"RPS14",2.79910214303286e-158,-0.465167247646521,1,0.999,5.13355333032226e-154
"IL13RA1",1.42150840382515e-156,4.10194829888283,0.214,0.011,2.60704641261533e-152
"TRBC1",3.5445393895212e-156,-3.27798796158812,0.132,0.453,6.50068524038189e-152
"CD247",7.07038069803956e-156,-3.30473281836975,0.075,0.405,1.29670782002046e-151
"UQCR11",2.36757603375614e-155,0.863685489237947,0.925,0.769,4.34213444590875e-151
"PIK3IP1",8.66701176634945e-155,-2.86540151347376,0.104,0.43,1.58952995794849e-150
"GYPC",4.64780549071986e-154,-2.01248230337225,0.207,0.558,8.52407526998023e-150
"ATOX1",1.32176220036499e-153,2.09696819273573,0.462,0.129,2.42411187546939e-149
"FAM45A",1.98174137312635e-153,2.34683287473014,0.412,0.1,3.63451367831373e-149
"BIN1",3.3552959837736e-153,-2.88250609968568,0.083,0.41,6.15361283424078e-149
"MGST2",1.65649157555638e-152,2.64476357673166,0.337,0.057,3.0380055495704e-148
"SCO2",6.48705734512297e-152,2.67468772228729,0.353,0.068,1.18972631709555e-147
"CD86",7.80107540792149e-152,3.10179013557678,0.279,0.033,1.4307172298128e-147
"GPBAR1",1.14668673002378e-151,3.03430699430379,0.272,0.031,2.10302346286362e-147
"IER3",1.47009325489813e-151,3.44229928594355,0.267,0.03,2.69615102948317e-147
