"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPTC7",2.82138600384327e-13,1.10364540032176,0.113,0.053,5.17442193104857e-09
"ZNF138",2.90139769577441e-13,-2.04092407517906,0.018,0.06,5.32116337405027e-09
"SDAD1",2.99542460915962e-13,-1.05561501372909,0.078,0.141,5.49360873319875e-09
"HGF",3.04302931991147e-13,3.22443881447431,0.027,0.004,5.58091577271763e-09
"C12orf42",3.04972481479721e-13,-3.93795256251554,0.003,0.032,5.59319531033808e-09
"PPIE",3.07657564681932e-13,-0.904945133019202,0.099,0.157,5.64243973626664e-09
"TBC1D19",3.07806852222584e-13,-3.41421865524238,0.004,0.034,5.64517766976219e-09
"RP1-34B20.21",3.11788732620839e-13,-2.80370704319121,0.01,0.041,5.71820535626619e-09
"ADGRG5",3.1242176171615e-13,-4.67968979753409,0.001,0.028,5.72981510987419e-09
"PLEKHF2",3.21055267677113e-13,-0.812148593159524,0.12,0.156,5.88815360919825e-09
"BIRC2",3.21858548626702e-13,0.553383615293289,0.255,0.168,5.90288578181371e-09
"JAKMIP1",3.22053707820333e-13,-4.65731878736525,0.001,0.028,5.90646500142491e-09
"VPS41",3.27978207295911e-13,0.816147108811561,0.106,0.053,6.01512032180701e-09
"KCNE1",3.42190216620823e-13,3.1697107239621,0.026,0.003,6.27576857282589e-09
"IDH2",3.42428786940015e-13,-0.696383947933345,0.178,0.259,6.28014395247988e-09
"NEK4",3.47664677933972e-13,1.19177612805979,0.082,0.033,6.37617019330905e-09
"ATG9B",3.49965369375972e-13,-3.36914418740214,0.003,0.034,6.41836487435532e-09
"NUP62",3.6330915175811e-13,0.795634895502619,0.156,0.086,6.66308984324374e-09
"SEC23B",3.6715960909812e-13,1.05693483385487,0.127,0.063,6.73370723085952e-09
"DENND1C",3.7688867229321e-13,-1.00544003381838,0.086,0.144,6.91213824985748e-09
"REPIN1",3.78803742034655e-13,-0.761024482006075,0.109,0.146,6.94726062891558e-09
"BRI3BP",3.87957383687897e-13,0.997051257437832,0.089,0.04,7.11513841683604e-09
"CYP20A1",3.8900936717654e-13,-0.742292712543957,0.149,0.205,7.13443179401774e-09
"TNKS2",3.89184202148414e-13,0.699318221678158,0.15,0.084,7.13763826740191e-09
"SLC15A4",3.99058040885957e-13,1.2155321891916,0.094,0.041,7.31872446984846e-09
"UBE2F",4.0269179160085e-13,0.365276596756053,0.211,0.144,7.38536745795959e-09
"NCL",4.05932834764503e-13,-0.440712381327683,0.392,0.474,7.44480818958098e-09
"DDX19B",4.0600264564315e-13,-1.17594297407946,0.055,0.096,7.44608852109537e-09
"GINM1",4.07147347444428e-13,0.774480166959277,0.153,0.085,7.4670823521308e-09
"REEP4",4.07959509859242e-13,1.08297711933398,0.087,0.038,7.48197741081851e-09
"CALCOCO2",4.12062299202894e-13,0.567257948032138,0.262,0.173,7.55722256738107e-09
"RAB21",4.1906651961974e-13,0.819576245438129,0.173,0.098,7.68567996982604e-09
"ITSN1",4.25459840103314e-13,2.66815967695077,0.032,0.005,7.80293346749479e-09
"BAG1",4.30191042531313e-13,0.464313402118002,0.289,0.199,7.88970372002428e-09
"CCNB1IP1",4.30795769061673e-13,-1.0638869694396,0.061,0.096,7.90079440459108e-09
"RRP1B",4.35903785958598e-13,-1.03886433858301,0.069,0.116,7.99447543448068e-09
"KCNMB1",4.41421212423542e-13,1.71613872731484,0.045,0.012,8.09566503584777e-09
"TPST2",4.44874335406389e-13,-0.591484895077195,0.198,0.227,8.15899531135317e-09
"ZNRF2",4.48054699711796e-13,1.81196638722735,0.049,0.013,8.21732319271433e-09
